lat,long,Radius,days_of_week,Hour,Demand
42.87596,74.62808,1.8105255707591272,Wednesday,1,2
42.87596,74.62808,1.8105255707591272,Thursday,1,6
42.87596,74.62808,1.8105255707591272,Friday,1,1
42.87596,74.62808,1.8105255707591272,Saturday,1,5
42.87596,74.62808,1.8105255707591272,Sunday,1,1
42.87596,74.62808,1.8105255707591272,Monday,1,1
42.87596,74.62808,1.8105255707591272,Tuesday,1,2
42.87596,74.62808,1.8105255707591272,Wednesday,1,0
42.87596,74.62808,1.8105255707591272,Thursday,1,5
42.87596,74.62808,1.8105255707591272,Friday,1,10
42.87596,74.62808,1.8105255707591272,Saturday,1,9
42.87596,74.62808,1.8105255707591272,Sunday,1,1
42.87596,74.62808,1.8105255707591272,Monday,1,1
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,0
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87495,74.65686,1.5500691532370605,Tuesday,1,0
42.87495,74.65686,1.5500691532370605,Wednesday,1,0
42.87495,74.65686,1.5500691532370605,Thursday,1,1
42.87495,74.65686,1.5500691532370605,Friday,1,0
42.87495,74.65686,1.5500691532370605,Saturday,1,0
42.87495,74.65686,1.5500691532370605,Sunday,1,0
42.87495,74.65686,1.5500691532370605,Monday,1,0
42.87844,74.69033,1.1195284622281587,Tuesday,1,0
42.87844,74.69033,1.1195284622281587,Wednesday,1,0
42.87844,74.69033,1.1195284622281587,Thursday,1,0
42.87844,74.69033,1.1195284622281587,Friday,1,0
42.87844,74.69033,1.1195284622281587,Saturday,1,0
42.87844,74.69033,1.1195284622281587,Sunday,1,0
42.87844,74.69033,1.1195284622281587,Monday,1,0
42.87844,74.69033,1.1195284622281587,Tuesday,1,0
42.87844,74.69033,1.1195284622281587,Wednesday,1,0
42.87844,74.69033,1.1195284622281587,Thursday,1,0
42.87844,74.69033,1.1195284622281587,Friday,1,0
42.87844,74.69033,1.1195284622281587,Saturday,1,0
42.87844,74.69033,1.1195284622281587,Sunday,1,0
42.87844,74.69033,1.1195284622281587,Monday,1,0
42.87844,74.69033,1.1195284622281587,Tuesday,1,0
42.87844,74.69033,1.1195284622281587,Wednesday,1,0
42.87844,74.69033,1.1195284622281587,Thursday,1,0
42.87844,74.69033,1.1195284622281587,Friday,1,0
42.87844,74.69033,1.1195284622281587,Saturday,1,0
42.87844,74.69033,1.1195284622281587,Sunday,1,0
42.87844,74.69033,1.1195284622281587,Monday,1,0
42.87844,74.69033,1.1195284622281587,Tuesday,1,0
42.87844,74.69033,1.1195284622281587,Wednesday,1,0
42.87844,74.69033,1.1195284622281587,Thursday,1,0
42.87844,74.69033,1.1195284622281587,Friday,1,0
42.87844,74.69033,1.1195284622281587,Saturday,1,0
42.87844,74.69033,1.1195284622281587,Sunday,1,0
42.87844,74.69033,1.1195284622281587,Monday,1,0
42.855579,74.68793,1.6048249522721225,Tuesday,1,0
42.855579,74.68793,1.6048249522721225,Wednesday,1,1
42.855579,74.68793,1.6048249522721225,Thursday,1,0
42.855579,74.68793,1.6048249522721225,Friday,1,1
42.855579,74.68793,1.6048249522721225,Saturday,1,0
42.855579,74.68793,1.6048249522721225,Sunday,1,1
42.855579,74.68793,1.6048249522721225,Monday,1,1
42.855579,74.68793,1.6048249522721225,Tuesday,1,0
42.855579,74.68793,1.6048249522721225,Wednesday,1,0
42.855579,74.68793,1.6048249522721225,Thursday,1,0
42.855579,74.68793,1.6048249522721225,Friday,1,0
42.855579,74.68793,1.6048249522721225,Saturday,1,0
42.855579,74.68793,1.6048249522721225,Sunday,1,0
42.855579,74.68793,1.6048249522721225,Monday,1,0
42.855579,74.68793,1.6048249522721225,Tuesday,1,0
42.855579,74.68793,1.6048249522721225,Wednesday,1,1
42.855579,74.68793,1.6048249522721225,Thursday,1,3
42.855579,74.68793,1.6048249522721225,Friday,1,0
42.855579,74.68793,1.6048249522721225,Saturday,1,0
42.855579,74.68793,1.6048249522721225,Sunday,1,1
42.855579,74.68793,1.6048249522721225,Monday,1,0
